"VM Name","Container","Secondary Container","Protection Domain","Host Placement","Power State","IP Address(es)","vCPUs","vRAM","Provisioned Space in GB","Used Space"
"CONTWMCS11","CTR01","CTR01","","NTNXKB-C","off","","2","2","50","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTV002","CTR01","CTR01","","NTNXKB-C","off","","2","2","44","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMMCS40","CTR01","CTR01","","NTNXKB-A","on","fe80::38a3:c575:e2d9:d254/64,10.68.68.121/22","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTV004","CTR01","CTR01","","NTNXKB-A","off","","2","2","44","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMDPL001","CTR01","CTR01","","NTNXKB-B","on","fe80::75d5:f85b:3b5e:5360/64,10.68.68.53/22","1","4","200","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMCWC001","CTR01","CTR01","","NTNXKB-C","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMAD202","CTR01","CTR01","","NTNXKB-C","off","","2","2","60","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCSXA02","CTR01","CTR01","","NTNXKB-A","on","fe80::a862:470a:f032:820f/64,10.68.68.112/22","8","8","50","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCSXA22","CTR01","CTR01","","NTNXKB-A","on","fe80::555d:5301:c66c:7357/64,10.68.68.109/22","4","4","50","Nutanix.Prism.Base.StatsSpecificResponse"
"NTNXMCS002","CTR01","CTR01","","NTNXKB-A","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTV003","CTR01","CTR01","","NTNXKB-B","on","fe80::752c:3cf9:d81e:6115/64,10.68.68.130/22","2","2","44","Nutanix.Prism.Base.StatsSpecificResponse"
"FCT001","CTR01","CTR01","","NTNXKB-A","off","","2","2","40","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTMLPC001","CTR01","CTR01","","NTNXKB-C","on","10.68.68.94/24,fe80::250:56ff:fe90:399d/64","4","12","570","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTCLNS001","CTR01","CTR01","","NTNXKB-C","on","10.68.250.21/24,fe80::250:56ff:fe90:4643/64","2","2","20","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTVCSA002","CTR01","CTR01","","NTNXKB-C","on","10.68.68.50/20","4","16","159","Nutanix.Prism.Base.StatsSpecificResponse"
"CONTVCSA001","CTR01","CTR01","","NTNXKB-C","off","","8","24","283","Nutanix.Prism.Base.StatsSpecificResponse"
