VM Name,Container,Protection Domain,Host Placement,Power State,Network adapters,IP Address(es),vCPUs,vRAM (GB),Disk Count,Provisioned Space (GB),Used Space (GB)
CONTMDC002,CTR01,,NTNXKB-C,on,1,"fe80::c164:daec:4760:c846/64,10.68.68.80/22",2,4,2,50,15
CONTMUNI002,CTR01,,NTNXKB-D,on,1,10.68.68.95/22,4,8,2,330,9
CONTMVW001,CTR01,,NTNXKB-C,off,1,,2,2,2,40,39
CONTMAD201,CTR01,,NTNXKB-A,off,1,,2,2,2,40,39
NTNX-16SM75290005-A-CVM,NA,,NTNXKB-D,on,2,"10.68.68.34/22,fe80::20c:29ff:fef5:2d1d/64,192.168.5.2/25,192.168.5.254/32,fe80::20c:29ff:fef5:2d27/64",8,32,0,0,0
CONTMVCS001,CTR01,,NTNXKB-B,on,1,"fe80::dda2:c548:49fd:8279/64,10.68.68.78/24",2,4,2,50,16
CONTMNPS001,CTR01,,NTNXKB-C,on,1,"fe80::8e3:36d:46d3:817c/64,10.68.68.73/22",2,4,1,50,17
CONTMAP006,CTR01,,NTNXKB-A,on,1,"fe80::5da1:4e08:7e11:349e/64,10.68.68.84/22",4,4,1,50,27
Avi-se-anruz,CTR01,,NTNXKB-B,on,10,10.68.68.132/22,2,2,1,10,2
CONTMWPKB001,CTR01,,NTNXKB-A,off,1,,12,12,2,100,40
CONTMAPVOL001,CTR01,,NTNXKB-C,on,1,"fe80::78c6:1e86:2f40:7e2c/64,10.68.68.138/22",2,2,2,40,39
CONTLUNI002,CTR01,,NTNXKB-A,on,1,"fe80::ce9:1dc3:a8c5:918e/64,10.68.68.88/22",4,4,2,50,16
4CPU4GB001,CTR01,,NTNXKB-A,off,1,,4,4,2,40,39
CONTWMCS11,CTR01,,NTNXKB-C,off,1,,2,2,1,50,16
CONTMAP005,CTR01,,NTNXKB-B,on,1,"fe80::b9e0:ec03:2e40:2f25/64,10.68.68.124/22",2,4,2,50,23
CONTMXD001,CTR01,,NTNXKB-B,on,1,"fe80::c20:e3f8:1f90:56af/64,10.68.68.55/22",2,8,1,50,31
CONTMXD003,CTR01,,NTNXKB-B,on,1,"fe80::5559:8630:a224:2257/64,10.68.68.76/22",4,4,2,50,22
CONTLUNICP001,CTR01,,NTNXKB-B,on,1,"10.68.68.115/22,fe80::250:56ff:fe90:2029/64",2,2,4,10,3
CONTMSQL001,CTR01,,NTNXKB-C,on,1,"fe80::5cc3:c00f:312f:9dd5/64,10.68.68.54/22",4,8,1,200,97
2CPU2GB001,CTR01,,NTNXKB-C,off,1,,2,2,2,50,16
CONTMMCS40,CTR01,,NTNXKB-A,on,1,"fe80::38a3:c575:e2d9:d254/64,10.68.68.121/22",2,2,2,40,40
CONTLUNI001,CTR01,,NTNXKB-A,on,1,"10.68.68.111/22,fe80::250:56ff:fe90:b49f/64",2,2,1,8,3
CONTMSF002,CTR01,,NTNXKB-C,on,1,"fe80::512f:741d:c80d:9994/64,10.68.68.60/22",2,4,1,50,17
CONTMAP001,CTR01,,NTNXKB-B,on,1,"fe80::c0e4:34d0:c8cd:c297/64,10.68.68.58/22",1,4,1,50,31
CONTWCMC7002,CTR01,,NTNXKB-C,off,1,,2,2,1,40,39
CONTMDPL001,CTR01,,NTNXKB-B,on,1,"fe80::75d5:f85b:3b5e:5360/64,10.68.68.53/22",1,4,2,200,29
XenDesktop_on_Nutanix,CTR01,,NTNXKB-A,off,1,,2,6,2,60,15
